"","Tazas_por_dia","Rendimiento_con_cafe","Promedio_ponderado_2024_1","Apoyo_economico","Gasto_semanal_cafe","Lugar_compra_cafe"
"258",6,"Regular",14,"Ninguno",15,"Hago mi propio café"
"259",3,"Bueno",13.68,"Ninguno",5,"Hago mi propio café"
"260",NA,NA,NA,"Ninguno",NA,NA
"261",NA,NA,NA,"Beca",NA,NA
"262",NA,NA,NA,"Semi-beca",NA,NA
"263",1,"Bueno",14,"Ninguno",16,"Hago mi propio café"
"264",1,"Bueno",15,"Beca",NA,"Starbucks"
"265",2,"Bueno",15.23,"Semi-beca",40,"Hago mi propio café"
"266",NA,NA,NA,"Semi-beca",NA,NA
"267",4,"Regular",15,"Ninguno",25,"Hago mi propio café"
"268",1,"Bueno",15,"Ninguno",20,"Hago mi propio café"
"269",2,"Bueno",13,"Ninguno",5,"Hago mi propio café"
"270",NA,NA,NA,"Ninguno",NA,NA
"271",1,"Regular",13,"Beca",8,"""Bodegas"" como Listo, Tambo, etc"
"272",1,"Bueno",14.7,"Ninguno",15,"Hago mi propio café"
"273",NA,NA,NA,"Ninguno",NA,NA
"274",NA,NA,NA,"Ninguno",NA,NA
"275",1,"Excelente",15,"Beca",6,"""Bodegas"" como Listo, Tambo, etc"
"276",1,"Bueno",16,"Ninguno",5,"Cafetería Artesanal"
"277",2,"Bueno",14,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"278",NA,NA,NA,"Ninguno",NA,NA
"279",NA,NA,NA,"Beca",NA,NA
"280",2,"Regular",13.5,"Ninguno",18,"""Bodegas"" como Listo, Tambo, etc"
"281",2,"Excelente",14,"Ninguno",12,"Starbucks"
"282",6,"Bueno",14.64,"Ninguno",NA,"Cafetería Artesanal"
"283",NA,NA,NA,"Beca",NA,NA
"284",NA,NA,NA,"Beca",NA,NA
"285",NA,NA,NA,"Ninguno",NA,NA
"286",NA,NA,NA,"Beca",NA,NA
"287",NA,NA,NA,"Beca",NA,NA
"288",1,"Puede Mejorar",13,"Beca",30,"Hago mi propio café"
"289",1,"Bueno",16.2,"Beca",15,"Starbucks"
"290",5,"Bueno",15.7,"Ninguno",20,"Starbucks"
"291",1,"Bueno",17.4,"Ninguno",10,"Hago mi propio café"
"292",2,"Bueno",15.1,"Ninguno",0,"Hago mi propio café"
"293",NA,NA,NA,"Ninguno",NA,NA
"294",NA,NA,NA,"Ninguno",NA,NA
"295",1,"Regular",13.4,"Semi-beca",5,"""Bodegas"" como Listo, Tambo, etc"
"296",1,"Puede Mejorar",13.05,"Ninguno",1,"""Bodegas"" como Listo, Tambo, etc"
"297",1,"Puede Mejorar",13.4,"Beca",16,"""Bodegas"" como Listo, Tambo, etc"
"298",1,"Regular",15.6,"Ninguno",0.5,"Hago mi propio café"
"299",NA,NA,NA,"Ninguno",NA,NA
"300",NA,NA,NA,"Ninguno",NA,NA
"301",2,"Regular",NA,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"302",2,"Bueno",15.45,"Ninguno",10,"Cafetería Artesanal"
"303",NA,NA,NA,"Beca",NA,NA
"304",1,"Excelente",18.21,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"305",1,"Regular",13.61,"Ninguno",0,"Hago mi propio café"
"306",NA,NA,NA,"Ninguno",NA,NA
"307",3,"Bueno",15,"Beca",15,"Hago mi propio café"
"308",1,"Bueno",10.59,"Ninguno",10,"Hago mi propio café"
"309",1,"Puede Mejorar",14.05,"Ninguno",1.5,"Hago mi propio café"
"310",NA,NA,NA,"Ninguno",NA,NA
"311",1,"Puede Mejorar",NA,"Ninguno",0,"""Bodegas"" como Listo, Tambo, etc"
"312",NA,NA,NA,"Ninguno",NA,NA
"313",7,"Excelente",14.68,"Ninguno",5,"Hago mi propio café"
"314",NA,NA,NA,"Semi-beca",NA,NA
"315",2,"Regular",15.3,"Ninguno",50,"Hago mi propio café"
"316",NA,NA,NA,"Ninguno",NA,NA
"317",NA,NA,NA,"Ninguno",NA,NA
"318",NA,NA,NA,"Ninguno",NA,NA
"319",2,"Regular",18,"Ninguno",12,"Hago mi propio café"
"320",2,"Bueno",13.2,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"321",1,"Regular",14.59,"Semi-beca",20,"Hago mi propio café"
"322",1,"Bueno",18,"Ninguno",12,"Starbucks"
"323",1,"Bueno",11,"Ninguno",18,"Hago mi propio café"
"324",3,"Excelente",17.78,"Beca",20,"Cafetería Artesanal"
"325",1,"Bueno",15,"Ninguno",10,"Starbucks"
"326",NA,NA,NA,"Ninguno",NA,NA
"327",3,"Regular",17,"Semi-beca",50,"""Bodegas"" como Listo, Tambo, etc"
"328",1,"Bueno",17.4,"Ninguno",3,"Starbucks"
"329",NA,NA,NA,"Ninguno",NA,NA
"330",2,"Bueno",12.76,"Ninguno",12,"Cafetería Artesanal"
"331",2,"Bueno",14,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"332",2,"Bueno",15.3,"Ninguno",15,"Hago mi propio café"
"333",NA,NA,NA,"Ninguno",NA,NA
"334",2,"Bueno",14,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"335",2,"Bueno",14,"Beca",4,"Hago mi propio café"
"336",1,"Bueno",16.34,"Ninguno",30,"Hago mi propio café"
"337",NA,NA,NA,"Ninguno",NA,NA
"338",NA,"Puede Mejorar",15.55,"Semi-beca",0,"Hago mi propio café"
"339",NA,NA,NA,"Beca",NA,NA
"340",2,"Bueno",15.24,"Ninguno",10,"Hago mi propio café"
"341",1,"Regular",15.9,"Ninguno",0,"Hago mi propio café"
"342",NA,NA,NA,"Ninguno",NA,NA
"343",3,"Puede Mejorar",13,"Ninguno",15,"Hago mi propio café"
"344",3,"Bueno",17.23,"Beca",20,"Hago mi propio café"
"345",NA,NA,NA,"Beca",NA,NA
"346",1,"Bueno",16,"Ninguno",0,"Hago mi propio café"
"347",1,"Excelente",13,"Beca",10,"Starbucks"
"348",NA,NA,NA,"Beca",NA,NA
"349",2,"Bueno",13.4,"Ninguno",8,"Hago mi propio café"
"350",5,"Bueno",NA,"Ninguno",50,"""Bodegas"" como Listo, Tambo, etc"
"351",5,"Excelente",NA,"Ninguno",30,"Hago mi propio café"
"352",2,"Excelente",16.45,"Ninguno",10,"Hago mi propio café"
"353",2,"Bueno",NA,"Ninguno",30,"Hago mi propio café"
"354",1,"Regular",14.43,"Beca",15,"Hago mi propio café"
"355",2,"Bueno",14.3,"Semi-beca",35,"Starbucks"
"356",2,"Excelente",15.23,"Ninguno",10,"Hago mi propio café"
"357",NA,NA,NA,"Ninguno",NA,NA
"358",1,"Bueno",14.52,"Beca",20,"""Bodegas"" como Listo, Tambo, etc"
"359",NA,NA,NA,"Ninguno",NA,NA
"360",NA,NA,NA,"Ninguno",NA,NA
"361",3,"Excelente",16.1,"Ninguno",10,"Hago mi propio café"
"362",NA,NA,NA,"Beca",NA,NA
"363",2,"Excelente",13.7,"Ninguno",0,"Hago mi propio café"
"364",NA,NA,NA,"Semi-beca",NA,NA
"365",NA,NA,NA,"Ninguno",NA,NA
"366",2,"Bueno",17.5,"Ninguno",30,"Hago mi propio café"
"367",NA,NA,NA,"Ninguno",NA,NA
"368",NA,NA,NA,"Ninguno",NA,NA
"369",2,"Puede Mejorar",NA,"Ninguno",10,"Starbucks"
"370",1,"Regular",14.31,"Ninguno",12,"""Bodegas"" como Listo, Tambo, etc"
"371",NA,NA,NA,"Ninguno",NA,NA
"372",2,"Bueno",14.2,"Semi-beca",30,"""Bodegas"" como Listo, Tambo, etc"
"373",5,"Bueno",16,"Ninguno",20,"Hago mi propio café"
"374",1,"Regular",14.82,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"375",2,"Excelente",19,"Ninguno",8,"Starbucks"
"376",NA,NA,NA,"Ninguno",NA,NA
"377",1,"Regular",17.25,"Ninguno",40,"Hago mi propio café"
