"","Tazas_por_dia","Rendimiento_con_cafe","Promedio_ponderado_2024_1","Apoyo_economico","Gasto_semanal_cafe","Lugar_compra_cafe"
"1259",NA,"Excelente",18,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"1260",4,"Excelente",12,"Ninguno",5,"Cafetería Artesanal"
"1261",NA,NA,NA,"Semi-beca",NA,NA
"1262",2,"Bueno",12.85,"Beca",3.5,"Cafetería Artesanal"
"1263",NA,NA,NA,"Ninguno",NA,NA
"1264",NA,NA,NA,"Beca",NA,NA
"1265",NA,NA,NA,"Ninguno",NA,NA
"1266",NA,NA,NA,"Ninguno",NA,NA
"1267",1,"Bueno",16.75,"Beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1268",NA,NA,NA,"Ninguno",NA,NA
"1269",5,"Excelente",17,"Beca",18,"""Bodegas"" como Listo, Tambo, etc"
"1270",1,"Regular",14.5,"Beca",17.5,"""Bodegas"" como Listo, Tambo, etc"
"1271",NA,NA,NA,"Ninguno",NA,NA
"1272",3,"Bueno",17,"Ninguno",40,"Starbucks"
"1273",3,"Bueno",14.17,"Beca",21,"""Bodegas"" como Listo, Tambo, etc"
"1274",3,"Regular",17,"Ninguno",17,"Cafetería Artesanal"
"1275",2,"Bueno",18,"Ninguno",35,"Starbucks"
"1276",5,"Excelente",18.25,"Ninguno",0,"Hago mi propio café"
"1277",4,"Excelente",18,"Ninguno",19,"Cafetería Artesanal"
"1278",6,"Excelente",18,"Semi-beca",20,"Cafetería Artesanal"
"1279",2,"Bueno",17,"Semi-beca",0,"Hago mi propio café"
"1280",3,"Excelente",18,"Semi-beca",60,"Cafetería Artesanal"
"1281",2,"Bueno",17.26,"Ninguno",25,"""Bodegas"" como Listo, Tambo, etc"
"1282",2,"Regular",13,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"1283",1,"Bueno",16.34,"Ninguno",0,"Hago mi propio café"
"1284",3,"Bueno",NA,"Ninguno",10,"Hago mi propio café"
"1285",NA,NA,NA,"Ninguno",NA,NA
"1286",NA,NA,NA,"Ninguno",NA,NA
"1287",4,"Bueno",16,"Ninguno",NA,"Cafetería Artesanal"
"1288",3,"Excelente",16,"Semi-beca",18,"Starbucks"
"1289",1,"Puede Mejorar",16,"Ninguno",5,"Hago mi propio café"
"1290",2,"Regular",17.35,"Beca",10,"Hago mi propio café"
"1291",3,"Excelente",16,"Ninguno",50,"Hago mi propio café"
"1292",4,"Excelente",16.42,"Ninguno",10,"Starbucks"
"1293",NA,NA,NA,"Beca",NA,NA
"1294",3,"Regular",17.63,"Beca",10.5,"Hago mi propio café"
"1295",3,"Bueno",15,"Ninguno",10,"Starbucks"
"1296",1,"Excelente",17.5,"Ninguno",20,"Hago mi propio café"
"1297",NA,NA,NA,"Semi-beca",NA,NA
"1298",3,"Excelente",15.03,"Ninguno",30,"Cafetería Artesanal"
"1299",NA,NA,NA,"Beca",NA,NA
"1300",2,"Bueno",15.3,"Semi-beca",10,"Hago mi propio café"
"1301",1,"Bueno",15,"Ninguno",4,"Hago mi propio café"
"1302",NA,NA,NA,"Ninguno",NA,NA
"1303",2,"Bueno",14.53,"Beca",0,"Hago mi propio café"
"1304",3,"Regular",13.7,"Ninguno",10,"Cafetería Artesanal"
"1305",1,"Bueno",14.95,"Ninguno",3,"Hago mi propio café"
"1306",NA,NA,NA,"Beca",NA,NA
"1307",2,"Bueno",17,"Ninguno",30,"Hago mi propio café"
"1308",3,"Bueno",15,"Ninguno",30,"Starbucks"
"1309",1,"Regular",16.2,"Beca",5,"Hago mi propio café"
"1310",NA,NA,NA,"Ninguno",NA,NA
"1311",2,"Regular",16.45,"Beca",12,"Hago mi propio café"
"1312",NA,NA,NA,"Ninguno",NA,NA
"1313",3,"Excelente",16.19,"Semi-beca",15.5,"""Bodegas"" como Listo, Tambo, etc"
"1314",2,"Bueno",14.32,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1315",NA,NA,NA,"Ninguno",NA,NA
"1316",NA,NA,NA,"Ninguno",NA,NA
"1317",3,"Excelente",15.71,"Semi-beca",30,"Hago mi propio café"
"1318",4,"Bueno",16.3,"Ninguno",60,"""Bodegas"" como Listo, Tambo, etc"
"1319",3,"Bueno",17.8,"Beca",15,"""Bodegas"" como Listo, Tambo, etc"
"1320",NA,NA,NA,"Semi-beca",NA,NA
"1321",2,"Regular",16.59,"Beca",12,"Hago mi propio café"
"1322",6,"Excelente",17.1,"Ninguno",70,"""Bodegas"" como Listo, Tambo, etc"
"1323",5,"Regular",13.82,"Semi-beca",35,"Cafetería Artesanal"
"1324",2,"Excelente",NA,"Ninguno",18,"Hago mi propio café"
"1325",4,"Regular",15.46,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"1326",2,"Excelente",16.3,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1327",NA,NA,NA,"Ninguno",NA,NA
"1328",NA,NA,NA,"Ninguno",NA,NA
"1329",5,"Excelente",7,"Ninguno",80,"Starbucks"
"1330",2,"Regular",16.98,"Ninguno",20,"Hago mi propio café"
"1331",2,"Regular",0,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"1332",1,"Bueno",NA,"Ninguno",8,"Starbucks"
"1333",3,"Excelente",17.8,"Beca",25,"Cafetería Artesanal"
"1334",1,"Bueno",13.2,"Ninguno",5,"Hago mi propio café"
"1335",1,"Bueno",17.86,"Beca",10,"Hago mi propio café"
"1336",NA,NA,NA,"Ninguno",NA,NA
"1337",3,"Bueno",14.5,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1338",1,"Bueno",17,"Ninguno",60,"""Bodegas"" como Listo, Tambo, etc"
"1339",4,"Bueno",13.23,"Beca",30,"Starbucks"
"1340",NA,NA,NA,"Ninguno",NA,NA
"1341",2,"Bueno",15.46,"Ninguno",8.4,"Cafetería Artesanal"
"1342",2,"Regular",14.7,"Ninguno",20,"Hago mi propio café"
"1343",1,"Bueno",NA,"Ninguno",15,"Hago mi propio café"
"1344",8,"Bueno",13,"Ninguno",42,"Hago mi propio café"
"1345",2,"Regular",19,"Beca",14,"""Bodegas"" como Listo, Tambo, etc"
"1346",6,"Regular",NA,"Semi-beca",18,"""Bodegas"" como Listo, Tambo, etc"
"1347",3,"Bueno",NA,"Semi-beca",15,"Cafetería Artesanal"
"1348",3,"Bueno",17.6,"Ninguno",80,"Starbucks"
"1349",NA,NA,NA,"Semi-beca",NA,NA
"1350",2,"Bueno",14,"Ninguno",80,"Starbucks"
"1351",NA,NA,NA,"Ninguno",NA,NA
"1352",3,"Bueno",16.87,"Beca",12,"""Bodegas"" como Listo, Tambo, etc"
"1353",NA,NA,NA,"Ninguno",NA,NA
"1354",NA,NA,NA,"Ninguno",NA,NA
"1355",4,"Regular",12,"Beca",21,"""Bodegas"" como Listo, Tambo, etc"
"1356",2,"Excelente",18.11,"Beca",8,"Hago mi propio café"
"1357",2,"Excelente",16.2,"Semi-beca",30,"Starbucks"
"1358",1,"Regular",NA,"Semi-beca",15,"Cafetería Artesanal"
"1359",NA,NA,NA,"Semi-beca",NA,NA
"1360",2,"Regular",14.98,"Ninguno",10,"Cafetería Artesanal"
"1361",1,"Regular",11,"Beca",10,"Starbucks"
"1362",2,"Excelente",15,"Ninguno",25,"Starbucks"
"1363",2,"Puede Mejorar",17.23,"Ninguno",23,"""Bodegas"" como Listo, Tambo, etc"
"1364",1,"Bueno",11,"Ninguno",20,"Hago mi propio café"
"1365",3,"Bueno",16,"Ninguno",20,"Hago mi propio café"
"1366",NA,NA,NA,"Ninguno",NA,NA
"1367",2,"Bueno",15.2,"Semi-beca",8,"""Bodegas"" como Listo, Tambo, etc"
"1368",2,"Bueno",13.2,"Semi-beca",30,"Hago mi propio café"
"1369",NA,NA,NA,"Ninguno",NA,NA
"1370",NA,NA,NA,"Semi-beca",NA,NA
"1371",NA,NA,NA,"Ninguno",NA,NA
"1372",NA,NA,NA,"Ninguno",NA,NA
"1373",10,"Bueno",6,"Beca",16,"""Bodegas"" como Listo, Tambo, etc"
"1374",5,"Excelente",5,"Semi-beca",19,"Cafetería Artesanal"
"1375",NA,NA,NA,"Ninguno",NA,NA
"1376",6,"Regular",19.8,"Semi-beca",16,"Starbucks"
"1377",NA,NA,NA,"Semi-beca",NA,NA
"1378",1,"Regular",NA,"Beca",20,"Cafetería Artesanal"
"1379",NA,NA,NA,"Semi-beca",NA,NA
"1380",5,"Regular",NA,"Semi-beca",15,"Starbucks"
"1381",2,"Regular",16.52,"Ninguno",20,"Cafetería Artesanal"
"1382",NA,NA,NA,"Ninguno",NA,NA
"1383",1,"Bueno",13.56,"Beca",16,"Cafetería Artesanal"
"1384",NA,NA,NA,"Ninguno",NA,NA
"1385",NA,NA,NA,"Semi-beca",NA,NA
"1386",NA,NA,NA,"Ninguno",NA,NA
"1387",4,"Bueno",NA,"Beca",17,"""Bodegas"" como Listo, Tambo, etc"
"1388",2,"Bueno",15,"Ninguno",25,"Starbucks"
"1389",2,"Bueno",NA,"Beca",10,"Hago mi propio café"
"1390",NA,NA,NA,"Ninguno",NA,NA
"1391",NA,NA,NA,"Semi-beca",NA,NA
"1392",3,"Regular",NA,"Ninguno",10,"Cafetería Artesanal"
"1393",2,"Excelente",15.63,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1394",2,"Bueno",NA,"Beca",5,"Hago mi propio café"
"1395",3,"Bueno",14.56,"Semi-beca",8,"""Bodegas"" como Listo, Tambo, etc"
"1396",6,"Excelente",15.3,"Ninguno",25,"Starbucks"
"1397",1,"Bueno",13.5,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1398",1,"Regular",11.3,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"1399",1,"Regular",13,"Ninguno",20,"Hago mi propio café"
"1400",NA,NA,NA,"Ninguno",NA,NA
"1401",4,"Bueno",14.35,"Semi-beca",10,"""Bodegas"" como Listo, Tambo, etc"
"1402",1,"Regular",NA,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"1403",NA,NA,NA,"Ninguno",NA,NA
"1404",2,"Bueno",15,"Ninguno",4,"""Bodegas"" como Listo, Tambo, etc"
"1405",1,"Regular",NA,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1406",NA,NA,NA,"Beca",NA,NA
"1407",3,"Bueno",14.52,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1408",2,"Bueno",15.6,"Ninguno",15,"Hago mi propio café"
"1409",NA,NA,NA,"Ninguno",NA,NA
"1410",1,"Excelente",16.1,"Beca",3,"""Bodegas"" como Listo, Tambo, etc"
"1411",4,"Bueno",15,"Beca",25,"""Bodegas"" como Listo, Tambo, etc"
"1412",1,"Excelente",16.4,"Semi-beca",7,"Hago mi propio café"
"1413",NA,NA,NA,"Semi-beca",NA,NA
"1414",NA,NA,NA,"Semi-beca",NA,NA
"1415",NA,NA,NA,"Ninguno",NA,NA
"1416",1,"Excelente",14.8,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"1417",NA,NA,NA,"Ninguno",NA,NA
"1418",2,"Bueno",16.5,"Semi-beca",15,"Hago mi propio café"
"1419",3,"Bueno",13.4,"Semi-beca",40,"Starbucks"
"1420",3,"Bueno",14,"Ninguno",30,"Hago mi propio café"
"1421",2,"Bueno",14.68,"Beca",2,"Hago mi propio café"
"1422",4,"Bueno",15.6,"Semi-beca",40,"Hago mi propio café"
"1423",3,"Bueno",13.8,"Ninguno",60,"Hago mi propio café"
"1424",1,"Bueno",17.25,"Beca",0,"Hago mi propio café"
"1425",2,"Bueno",13.2,"Ninguno",60,"Hago mi propio café"
"1426",1,"Bueno",14.3,"Ninguno",5,"Hago mi propio café"
"1427",NA,NA,NA,"Ninguno",NA,NA
"1428",1,"Bueno",13.25,"Ninguno",20,"Starbucks"
"1429",3,"Bueno",13.6,"Ninguno",50,"Hago mi propio café"
"1430",NA,NA,NA,"Semi-beca",NA,NA
"1431",1,"Bueno",17.6,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"1432",3,"Excelente",15,"Ninguno",199,"Starbucks"
"1433",2,"Bueno",14.2,"Ninguno",80,"Hago mi propio café"
"1434",NA,NA,NA,"Semi-beca",NA,NA
"1435",2,"Bueno",16.89,"Beca",5,"Hago mi propio café"
"1436",NA,NA,NA,"Ninguno",NA,NA
"1437",2,"Excelente",15,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"1438",2,"Excelente",15.36,"Semi-beca",9,"""Bodegas"" como Listo, Tambo, etc"
"1439",NA,NA,NA,"Semi-beca",NA,NA
"1440",2,"Puede Mejorar",NA,"Beca",7,"""Bodegas"" como Listo, Tambo, etc"
"1441",2,"Excelente",NA,"Beca",10,"Starbucks"
"1442",NA,NA,NA,"Ninguno",NA,NA
"1443",NA,NA,NA,"Ninguno",NA,NA
"1444",NA,NA,NA,"Beca",NA,NA
"1445",2,"Excelente",13.5,"Ninguno",20,"Starbucks"
"1446",1,"Puede Mejorar",NA,"Semi-beca",12,"Cafetería Artesanal"
"1447",1,"Regular",NA,"Beca",190,"Starbucks"
"1448",8,"Bueno",13,"Ninguno",42,"Hago mi propio café"
"1449",2,"Bueno",15,"Ninguno",40,"""Bodegas"" como Listo, Tambo, etc"
"1450",3,"Excelente",14,"Ninguno",15,"Cafetería Artesanal"
"1451",2,"Regular",13,"Ninguno",10,"Cafetería Artesanal"
"1452",2,"Regular",3,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"1453",3,"Regular",13.8,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1454",2,"Excelente",15,"Ninguno",40,"Starbucks"
"1455",1,"Regular",14.2,"Semi-beca",4,"""Bodegas"" como Listo, Tambo, etc"
"1456",1,"Regular",12,"Ninguno",10,"Hago mi propio café"
"1457",NA,"Regular",15,"Semi-beca",5,"Hago mi propio café"
"1458",1,"Bueno",13.45,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1459",2,"Bueno",13.85,"Semi-beca",6,"Starbucks"
"1460",1,"Puede Mejorar",13.85,"Beca",1,"Hago mi propio café"
"1461",3,"Bueno",11,"Ninguno",2,"""Bodegas"" como Listo, Tambo, etc"
"1462",3,"Bueno",14,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"1463",3,"Bueno",14.2,"Beca",10,"Hago mi propio café"
"1464",NA,NA,NA,"Semi-beca",NA,NA
"1465",2,"Bueno",14.5,"Ninguno",15,"Starbucks"
"1466",1,"Puede Mejorar",13.4,"Semi-beca",8,"""Bodegas"" como Listo, Tambo, etc"
"1467",1,"Regular",15.4,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"1468",1,"Excelente",13,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1469",2,"Excelente",16.5,"Ninguno",45,"Starbucks"
"1470",2,"Bueno",15.6,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1471",3,"Bueno",15.6,"Ninguno",50,"Starbucks"
"1472",2,"Bueno",14.2,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1473",3,"Bueno",14.6,"Ninguno",40,"""Bodegas"" como Listo, Tambo, etc"
"1474",2,"Bueno",16,"Semi-beca",50,"Hago mi propio café"
"1475",NA,NA,NA,"Ninguno",NA,NA
"1476",NA,NA,NA,"Ninguno",NA,NA
"1477",NA,NA,NA,"Beca",NA,NA
"1478",NA,NA,NA,"Ninguno",NA,NA
"1479",2,"Regular",15.21,"Ninguno",25,"""Bodegas"" como Listo, Tambo, etc"
"1480",NA,NA,NA,"Ninguno",NA,NA
"1481",1,"Bueno",NA,"Ninguno",10,"Hago mi propio café"
"1482",NA,NA,NA,"Ninguno",NA,NA
"1483",2,"Regular",11.75,"Semi-beca",10,"Hago mi propio café"
"1484",1,"Regular",0,"Beca",27,"""Bodegas"" como Listo, Tambo, etc"
"1485",2,"Excelente",17,"Semi-beca",30,"Starbucks"
"1486",2,"Excelente",15.3,"Semi-beca",20,"Hago mi propio café"
"1487",NA,NA,NA,"Beca",NA,NA
"1488",NA,NA,NA,"Ninguno",NA,NA
"1489",1,"Puede Mejorar",17,"Beca",9,"Hago mi propio café"
"1490",2,"Bueno",0,"Beca",50,"Hago mi propio café"
"1491",NA,NA,NA,"Beca",NA,NA
"1492",1,"Excelente",12.57,"Beca",10,"Starbucks"
"1493",2,"Bueno",14,"Ninguno",2,"Hago mi propio café"
"1494",2,"Bueno",14,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1495",1,"Puede Mejorar",NA,"Ninguno",1,"""Bodegas"" como Listo, Tambo, etc"
"1496",NA,"Excelente",8.53,"Ninguno",50,"Hago mi propio café"
"1497",NA,NA,NA,"Ninguno",NA,NA
"1498",1,"Bueno",17.53,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1499",3,"Bueno",16.5,"Ninguno",0,"Cafetería Artesanal"
"1500",1,"Excelente",18.25,"Beca",10,"Hago mi propio café"
"1501",NA,NA,NA,"Ninguno",NA,NA
"1502",1,"Bueno",16,"Ninguno",12,"""Bodegas"" como Listo, Tambo, etc"
"1503",4,"Bueno",14.5,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1504",1,"Bueno",14.5,"Ninguno",30,"Starbucks"
"1505",NA,NA,NA,"Ninguno",NA,NA
"1506",NA,NA,NA,"Ninguno",NA,NA
"1507",3,"Regular",13,"Ninguno",20,"Starbucks"
"1508",1,"Bueno",14.07,"Semi-beca",40,"Cafetería Artesanal"
"1509",2,"Bueno",12,"Ninguno",50,"Starbucks"
"1510",3,"Bueno",13.8,"Ninguno",40,"""Bodegas"" como Listo, Tambo, etc"
"1511",3,"Regular",15,"Ninguno",30,"Cafetería Artesanal"
"1512",1,"Bueno",15.07,"Ninguno",43,"""Bodegas"" como Listo, Tambo, etc"
"1513",NA,NA,NA,"Ninguno",NA,NA
"1514",2,"Regular",13.25,"Ninguno",10,"Hago mi propio café"
"1515",NA,NA,NA,"Ninguno",NA,NA
"1516",3,"Excelente",13.92,"Ninguno",19,"Hago mi propio café"
"1517",3,"Bueno",NA,"Ninguno",35,"Hago mi propio café"
"1518",1,"Bueno",15.01,"Ninguno",21,"Hago mi propio café"
"1519",4,"Bueno",13,"Ninguno",20,"Starbucks"
"1520",NA,"Bueno",15.23,"Ninguno",10,"Starbucks"
"1521",1,"Bueno",14.03,"Ninguno",13,"Starbucks"
"1522",NA,"Excelente",11,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1523",1,"Bueno",14.01,"Ninguno",10,"Hago mi propio café"
"1524",1,"Bueno",14.02,"Ninguno",10,"Starbucks"
"1525",3,"Bueno",16.3,"Ninguno",60,"Starbucks"
"1526",NA,NA,NA,"Ninguno",NA,NA
"1527",3,"Excelente",17.2,"Ninguno",60,"Starbucks"
"1528",2,"Bueno",14.5,"Ninguno",12,"Cafetería Artesanal"
"1529",2,"Bueno",14.25,"Ninguno",15,"Hago mi propio café"
"1530",2,"Excelente",15.3,"Ninguno",40,"Starbucks"
"1531",NA,NA,NA,"Ninguno",NA,NA
"1532",3,"Excelente",12,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1533",2,"Bueno",12,"Ninguno",0,"Hago mi propio café"
"1534",5,"Bueno",15.5,"Semi-beca",50,"""Bodegas"" como Listo, Tambo, etc"
"1535",4,"Excelente",13,"Ninguno",47,"Hago mi propio café"
"1536",2,"Bueno",13,"Ninguno",20,"Hago mi propio café"
"1537",2,"Bueno",14,"Ninguno",0,"Hago mi propio café"
"1538",3,"Bueno",14.5,"Ninguno",40,"Starbucks"
"1539",1,"Bueno",14.05,"Semi-beca",30,"Hago mi propio café"
"1540",2,"Bueno",16.5,"Ninguno",15,"Hago mi propio café"
"1541",2,"Bueno",17.24,"Ninguno",7.5,"""Bodegas"" como Listo, Tambo, etc"
"1542",3,"Excelente",16,"Ninguno",50,"Starbucks"
"1543",2,"Excelente",16.74,"Ninguno",200,"Starbucks"
"1544",NA,NA,NA,"Ninguno",NA,NA
"1545",1,"Bueno",13,"Ninguno",50,"Cafetería Artesanal"
"1546",NA,"Regular",14.95,"Ninguno",3,"""Bodegas"" como Listo, Tambo, etc"
"1547",2,"Bueno",14,"Beca",5,"Starbucks"
"1548",1,"Bueno",13,"Ninguno",25,"Starbucks"
"1549",2,"Excelente",15,"Semi-beca",10,"Hago mi propio café"
"1550",1,"Bueno",16,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1551",2,"Excelente",14,"Ninguno",50,"""Bodegas"" como Listo, Tambo, etc"
"1552",1,"Regular",14,"Ninguno",50,"Starbucks"
"1553",2,"Excelente",14,"Ninguno",3.5,"Starbucks"
"1554",1,"Bueno",15.1,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1555",2,"Bueno",13,"Ninguno",0,"""Bodegas"" como Listo, Tambo, etc"
"1556",2,"Bueno",NA,"Ninguno",2,"""Bodegas"" como Listo, Tambo, etc"
"1557",NA,NA,NA,"Beca",NA,NA
"1558",NA,NA,NA,"Ninguno",NA,NA
"1559",3,"Puede Mejorar",14.3,"Ninguno",50,"""Bodegas"" como Listo, Tambo, etc"
"1560",3,"Bueno",11,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"1561",NA,NA,NA,"Ninguno",NA,NA
"1562",NA,NA,NA,"Beca",NA,NA
"1563",3,"Regular",12,"Ninguno",3,"Hago mi propio café"
"1564",1,"Regular",12,"Ninguno",5,"Hago mi propio café"
"1565",NA,NA,NA,"Ninguno",NA,NA
"1566",1,"Regular",14,"Ninguno",0,"Hago mi propio café"
"1567",2,"Bueno",11,"Beca",15,"Cafetería Artesanal"
"1568",5,"Bueno",14.75,"Ninguno",5,"Hago mi propio café"
"1569",4,"Bueno",13.2,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1570",NA,NA,NA,"Ninguno",NA,NA
"1571",NA,NA,NA,"Beca",NA,NA
"1572",4,"Bueno",13.5,"Ninguno",35,"Starbucks"
"1573",3,"Bueno",16.32,"Beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1574",NA,NA,NA,"Ninguno",NA,NA
"1575",1,"Bueno",15.75,"Ninguno",0,"Hago mi propio café"
"1576",3,"Bueno",15,"Semi-beca",50,"Cafetería Artesanal"
"1577",NA,NA,NA,"Semi-beca",NA,NA
"1578",1,"Bueno",16.7,"Ninguno",2.5,"""Bodegas"" como Listo, Tambo, etc"
"1579",1,"Bueno",14.07,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1580",6,"Excelente",13,"Ninguno",6,"Cafetería Artesanal"
"1581",3,"Regular",13,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1582",1,"Regular",13.3,"Semi-beca",6,"Hago mi propio café"
"1583",1,"Bueno",14.56,"Beca",15,"""Bodegas"" como Listo, Tambo, etc"
"1584",NA,NA,NA,"Ninguno",NA,NA
"1585",2,"Regular",15,"Ninguno",8,"Hago mi propio café"
"1586",5,"Regular",NA,"Semi-beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1587",NA,NA,NA,"Ninguno",NA,NA
"1588",4,"Bueno",15.24,"Ninguno",60,"""Bodegas"" como Listo, Tambo, etc"
"1589",3,"Bueno",13.34,"Ninguno",50,"""Bodegas"" como Listo, Tambo, etc"
"1590",3,"Bueno",16.39,"Ninguno",20,"Hago mi propio café"
"1591",2,"Bueno",17.01,"Ninguno",15,"Hago mi propio café"
"1592",2,"Bueno",15.72,"Beca",20,"Cafetería Artesanal"
"1593",1,"Bueno",NA,"Ninguno",40,"Hago mi propio café"
"1594",4,"Regular",16,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1595",2,"Regular",14.03,"Semi-beca",5,"Hago mi propio café"
"1596",2,"Excelente",NA,"Ninguno",15,"Hago mi propio café"
"1597",3,"Bueno",14.39,"Semi-beca",10,"""Bodegas"" como Listo, Tambo, etc"
"1598",2,"Regular",14.56,"Beca",25,"Hago mi propio café"
"1599",2,"Regular",14.35,"Beca",10,"Hago mi propio café"
"1600",4,"Bueno",16.32,"Beca",10,"Hago mi propio café"
"1601",2,"Bueno",15.43,"Ninguno",10,"Hago mi propio café"
"1602",2,"Bueno",14.32,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1603",3,"Bueno",14.67,"Ninguno",20,"Hago mi propio café"
"1604",2,"Bueno",16.1,"Ninguno",10,"Hago mi propio café"
"1605",3,"Bueno",13.23,"Ninguno",100,"Cafetería Artesanal"
"1606",NA,NA,NA,"Ninguno",NA,NA
"1607",1,"Excelente",14.1,"Ninguno",3,"Starbucks"
"1608",1,"Regular",19,"Beca",10,"Hago mi propio café"
"1609",3,"Regular",13,"Ninguno",5,"Starbucks"
"1610",NA,NA,NA,"Beca",NA,NA
"1611",2,"Bueno",11.15,"Ninguno",15,"Cafetería Artesanal"
"1612",1,"Bueno",14,"Ninguno",15,"Hago mi propio café"
"1613",2,"Bueno",14.5,"Ninguno",4,"Hago mi propio café"
"1614",2,"Bueno",14,"Ninguno",200,"Hago mi propio café"
"1615",NA,NA,NA,"Ninguno",NA,NA
"1616",4,"Bueno",5,"Ninguno",30,"Hago mi propio café"
"1617",NA,NA,NA,"Ninguno",NA,NA
"1618",7,"Excelente",17,"Ninguno",40,"""Bodegas"" como Listo, Tambo, etc"
"1619",NA,NA,NA,"Ninguno",NA,NA
"1620",NA,NA,NA,"Semi-beca",NA,NA
"1621",4,"Puede Mejorar",14,"Beca",30,"Starbucks"
"1622",3,"Excelente",14.5,"Ninguno",50,"Cafetería Artesanal"
"1623",5,"Excelente",12.8,"Ninguno",25,"Hago mi propio café"
"1624",6,"Bueno",13,"Beca",60,"Starbucks"
"1625",NA,NA,NA,"Ninguno",NA,NA
"1626",NA,NA,NA,"Semi-beca",NA,NA
"1627",NA,NA,NA,"Beca",NA,NA
"1628",NA,NA,NA,"Semi-beca",NA,NA
"1629",6,"Excelente",14.8,"Semi-beca",60,"Cafetería Artesanal"
"1630",5,"Bueno",16.15,"Ninguno",100,"""Bodegas"" como Listo, Tambo, etc"
"1631",6,"Regular",9,"Ninguno",50,"Hago mi propio café"
"1632",NA,NA,NA,"Beca",NA,NA
"1633",NA,NA,NA,"Semi-beca",NA,NA
"1634",NA,NA,NA,"Ninguno",NA,NA
"1635",9,"Bueno",11,"Semi-beca",70,"""Bodegas"" como Listo, Tambo, etc"
"1636",NA,NA,NA,"Ninguno",NA,NA
"1637",3,"Bueno",17.3,"Semi-beca",55,"Hago mi propio café"
"1638",5,"Regular",15.6,"Ninguno",50,"Hago mi propio café"
"1639",3,"Bueno",16.8,"Ninguno",30,"Hago mi propio café"
"1640",6,"Regular",15.2,"Ninguno",50,"Hago mi propio café"
"1641",NA,NA,NA,"Ninguno",NA,NA
"1642",2,"Regular",15,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1643",NA,NA,NA,"Ninguno",NA,NA
"1644",1,"Regular",17.4,"Beca",10,"Cafetería Artesanal"
"1645",2,"Bueno",13.44,"Beca",6,"Hago mi propio café"
"1646",NA,NA,NA,"Beca",NA,NA
"1647",1,"Excelente",14,"Beca",20,"Cafetería Artesanal"
"1648",NA,NA,NA,"Ninguno",NA,NA
"1649",NA,NA,NA,"Ninguno",NA,NA
"1650",4,"Regular",13,"Ninguno",6,"Starbucks"
"1651",2,"Regular",NA,"Ninguno",20,"Hago mi propio café"
"1652",NA,NA,NA,"Semi-beca",NA,NA
"1653",3,"Puede Mejorar",13.56,"Ninguno",15,"Starbucks"
"1654",2,"Puede Mejorar",14.35,"Beca",40,"""Bodegas"" como Listo, Tambo, etc"
"1655",NA,NA,NA,"Ninguno",NA,NA
